datetime,co2_mv,co2_mean,tank
2023-08-16T08:25:00Z,2033.6,740.5028,Bare
2023-08-16T09:20:00Z,1903.2,736.7156,Bare
2023-08-16T10:05:00Z,1813.8,708.1012000000001,Bare
2023-08-16T11:15:00Z,1688.8,614.9992000000001,Bare
2023-08-16T12:50:00Z,1550,496.4388,Bare
2023-08-16T13:15:00Z,1531.4,466.4568,Bare
2023-08-16T14:05:00Z,1498.8,432.47720000000004,Bare
2023-08-16T15:10:00Z,1464.2,374.512,Bare
2023-07-13T09:10:00Z,1661.2,674.6476,Eelgrass
2023-07-13T10:10:00Z,1424.2,650.4516,Eelgrass
2023-07-13T11:15:00Z,1292.4,631.5156,Eelgrass
2023-07-13T12:10:00Z,1301.8,631.726,Eelgrass
2023-07-13T13:20:00Z,1224.8,608.4768,Eelgrass
2023-07-13T14:10:00Z,1162.6,628.2544,Eelgrass
2023-07-13T15:10:00Z,1112.8,639.9316,Eelgrass
2023-07-13T16:00:00Z,1100.8,598.9036,Eelgrass
2023-08-16T08:10:00Z,2232,726.1956,Eelgrass
2023-08-16T09:10:00Z,2031.6,662.9704,Eelgrass
2023-08-16T10:00:00Z,1847.6,692.216,Eelgrass
2023-08-16T11:05:00Z,1626.4,659.078,Eelgrass
2023-08-16T12:05:00Z,1430.4,574.8128,Eelgrass
2023-08-16T13:05:00Z,1273.8,561.2420000000001,Eelgrass
2023-08-16T14:00:00Z,1154.8,529.1560000000001,Eelgrass
2023-08-16T15:05:00Z,1069.8,515.5852000000001,Eelgrass
2023-07-13T09:05:00Z,2024.6,633.6196,Bare
2023-07-13T10:10:00Z,1994,584.4912,Bare
2023-07-13T11:10:00Z,2005.2,546.514,Bare
2023-07-13T12:05:00Z,1988.2,494.8608,Bare
2023-07-13T13:15:00Z,1968.8,511.06160000000006,Bare
2023-07-13T14:05:00Z,1971.2,462.56440000000003,Bare
2023-07-13T15:05:00Z,1943.8,415.11920000000003,Bare
2023-07-13T16:00:00Z,1952.6,391.97520000000003,Bare
